,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
0,Buy Dirt,Jordan Davis,69AIpwGNLxr4qS1X5ynx60,2021-05-21,0.586,0.559,-6.725,0.05,0.639,0.0872,0.437,177.945,
1,Fancy Like,Walker Hayes,3ZozFqJJlDBNIm4xqxn2ZD,2021-06-04,0.649,0.76,-6.487,0.0574,0.114,0.317,0.843,80.018,
2,Sand In My Boots,Morgan Wallen,0uRrG2jRR5tuifsYIJHEao,2021-01-08,0.403,0.537,-6.628,0.031,0.59,0.112,0.414,69.877,
3,If I Didn't Love You,Jason Aldean,1WQ40xJSvgDmD9K7ckJwux,2021-11-12,0.456,0.679,-4.802,0.0324,0.176,0.103,0.483,184.075,
4,Buy Dirt,Jordan Davis,69AIpwGNLxr4qS1X5ynx60,2021-05-21,0.586,0.559,-6.725,0.05,0.639,0.0872,0.437,177.945,
5,Fancy Like,Walker Hayes,3ZozFqJJlDBNIm4xqxn2ZD,2021-06-04,0.649,0.76,-6.487,0.0574,0.114,0.317,0.843,80.018,
6,Sand In My Boots,Morgan Wallen,0uRrG2jRR5tuifsYIJHEao,2021-01-08,0.403,0.537,-6.628,0.031,0.59,0.112,0.414,69.877,
7,If I Didn't Love You,Jason Aldean,1WQ40xJSvgDmD9K7ckJwux,2021-11-12,0.456,0.679,-4.802,0.0324,0.176,0.103,0.483,184.075,
8,Livin’ The Dream,Morgan Wallen,2L4YgbxxwmwafMqLIjSx8q,2020-11-19,0.621,0.754,-5.904,0.0269,0.575,0.213,0.441,127.036,-0.01536009868512589
9,More Than My Hometown,Morgan Wallen,5OELUCYgOHKFAvCERnAvfS,2021-01-08,0.62,0.869,-5.479,0.0462,0.615,0.131,0.597,126.019,-1.1043813675280774
10,She Chose Me,RaeLynn,0BKTziwRLakxu27YdvF5zL,2021-09-24,0.666,0.714,-4.611,0.0313,0.42,0.0745,0.252,130.081,-1.6345321785856846
11,Some Habits,Cole Swindell,5HnUklQOSPe7fttFaPl37K,2022-03-04,0.565,0.775,-3.549,0.0327,0.13,0.246,0.438,127.064,-1.7857593560823513
12,Power,Kevin Gates,6yKkkGw25k29PmdRPHO5vl,2020-11-19,0.46,0.622,-6.884,0.112,0.136,0.13,0.294,124.672,-2.4043611412421817
13,Boot Scootin' Boogie - Club Mix,Brooks & Dunn,050i2N93fNHJ7FEtZl6KX8,1993-02-23,0.762,0.658,-9.568,0.0738,0.0897,0.167,0.844,130.303,-3.152801432768311
14,Here for the Party,Gretchen Wilson,0SuzUhWAgStNIMZR4jEGgk,2004-05-11,0.656,0.717,-4.871,0.0279,0.0127,0.904,0.809,123.988,-3.2871576329777445
15,Leave You Alone,Kane Brown,5J8AKBaUq1WHrzrm9YWlP3,2022-03-04,0.447,0.538,-7.258,0.0338,0.119,0.188,0.453,123.746,-3.383286175919003
16,This Is How We Roll - Remix,Florida Georgia Line,3Hs4ytyLFzB2HKk2ZSohko,2014-06-04,0.591,0.749,-4.145,0.0293,0.00677,0.195,0.595,132.08,-3.5873539069819538
17,Giving You Up - Acoustic,Kameron Marlowe,5NIGKX5at9iO87OyOHmoiV,2020-06-12,0.683,0.351,-6.179,0.0273,0.832,0.0949,0.489,133.554,-4.603619403564372
18,When I'm Gone,Joey + Rory,54SEsuLm43yxTeFTkSAnk5,2012-01-01,0.426,0.0985,-10.76,0.0386,0.916,0.17,0.156,131.449,-4.825168160662753
19,Queens Don't,RaeLynn,0ExiKxfY5rHBW06TcV1xXU,2018-03-16,0.658,0.695,-5.499,0.0279,0.0703,0.13,0.571,133.949,-5.016694945732327
20,This Side Of A Dust Cloud - Bonus,Morgan Wallen,0UotfxRXpJwpem9QheCD5a,2021-01-29,0.645,0.734,-5.892,0.0266,0.139,0.159,0.797,133.989,-5.028443381172415
21,Redneck Be Like,Thomas Rhett,00R3xLkJsIxENOc3qA4CDA,2021-08-06,0.658,0.843,-5.22,0.0494,0.0678,0.409,0.713,134.954,-6.056272423879319
22,Freight Train,Alan Jackson,6oo0HD3mrcYtzApYeYsS4L,2010-03-30,0.706,0.757,-7.543,0.0323,0.494,0.116,0.69,120.967,-6.152646422828485
23,It's About Time (feat. Florida Georgia Line),Russell Dickerson,5ycEpZQumS0oXR46E7tBWM,2020-12-04,0.765,0.92,-4.362,0.0984,0.249,0.618,0.799,121.011,-6.22662116621607
24,Condemned,Zach Bryan,6WuVLG5DRHKKuJ6deCw28p,2019-08-24,0.616,0.15,-13.517,0.119,0.831,0.203,0.345,126.462,-6.544048328318021
25,My Wish,Rascal Flatts,6Gfmj0HbpvxTdW0sdlzTDU,2006-01-01,0.548,0.769,-4.853,0.0312,0.0307,0.0867,0.388,135.712,-6.853828649136952
26,Dark Night - 717 Tapes,Warren Zeiders,4Y7ze5PDaQSSkvCX3pd5CO,2022-03-04,0.78,0.682,-5.869,0.0341,0.153,0.169,0.609,120.083,-6.9089723953242155
27,Stay,Sugarland,0jn2XqaHliEpWd04ZykIHy,2006-01-01,0.549,0.284,-8.383,0.0388,0.774,0.105,0.389,135.632,-6.988538539683032
28,Young Again,Morgan Evans,5KClAAep73NVj6DYpLkvRA,2018-10-12,0.609,0.829,-5.411,0.0482,0.0781,0.183,0.751,119.977,-7.0479655752246195
29,Someone Like You - Piano Vocal,David Nail,55BiXEd58TxhBPGJ5tImyJ,2012-01-01,0.612,0.263,-7.438,0.0298,0.877,0.108,0.216,119.848,-7.2609776600593445
30,Porch Swing Angel,Muscadine Bloodline,50QL2fqn6EDwpBUJ5QaQ4m,2016-04-17,0.518,0.411,-7.896,0.0307,0.895,0.0911,0.187,136.147,-7.377304336121259
31,Can’t Help Myself,Dean Brody,2PjnsOviwyOmHTA36yU7qb,2020-11-18,0.696,0.869,-3.453,0.0358,0.00392,0.162,0.663,119.99,-7.449333158681748
32,I Hope You’re Happy Now,Carly Pearce,0Al3wN3keprGTSgG8NBwjr,2020-02-14,0.591,0.815,-4.725,0.0366,0.168,0.142,0.306,118.024,-9.064636992956999
33,half of my hometown (feat. Kenny Chesney),Kelsea Ballerini,1yRke3PmsyFrYlFZOAkABk,2020-03-20,0.57,0.618,-4.966,0.0445,0.153,0.159,0.286,138.034,-9.131901234714022
34,Fall Into Me,Brantley Gilbert,2MedaqRcSsxA1hiiXGoK7s,2010,0.314,0.408,-8.717,0.0283,0.0601,0.149,0.239,138.917,-10.245952752434883
35,Me Too,Kevin Gates,3yXFcbGxFn2au5q3pShkAe,2018-09-28,0.726,0.605,-5.002,0.296,0.152,0.642,0.36,139.233,-10.332671396453645
36,Pray For You,Jaron And The Long Road To Love,68wTP3pPT5uAQsrwVX4DSS,2010-06-22,0.506,0.632,-5.983,0.0392,0.596,0.141,0.483,139.957,-10.98169466060635
37,Sold (The Grundy County Auction Incident),John Michael Montgomery,0NLBwQBYJhEM9t3KAMPFVR,1995-03-17,0.771,0.848,-7.365,0.035,0.108,0.35,0.803,115.642,-11.406947331233459
38,Ride,Chase Rice,2Dp0QLXSfuGr5XVlLwzXLk,2014-08-19,0.666,0.721,-6.347,0.0318,0.0354,0.122,0.342,115.039,-11.948378576485858
39,Warning,Morgan Wallen,64SCQtbRtmO28ks1QhS3w5,2021-01-08,0.633,0.664,-5.037,0.0294,0.46,0.108,0.268,115.058,-11.973282521397586
40,Miss You a Little (feat. lovelytheband),Bryce Vine,2tijppLc0gaWA2AfPDANvq,2021-08-06,0.636,0.886,-4.76,0.0433,0.347,0.171,0.589,140.888,-11.988062213047714
41,The Older I Get,Alan Jackson,3cHzrMhfYJOItIZd0kPVUR,2017-10-20,0.625,0.253,-9.116,0.0273,0.677,0.234,0.277,114.633,-12.680847417101017
42,Save The Roses,Lee Brice,4r8tnUcdD9kVETRZSTIa5E,2020-11-20,0.522,0.634,-8.133,0.0312,0.111,0.105,0.388,142.058,-13.220242334081256
43,Memory,Kane Brown,34chhNX59Wo9HMFCsI3K8Y,2021-07-09,0.434,0.889,-5.684,0.0509,0.395,0.273,0.845,113.326,-13.666561261249953
44,Don't You Wanna Stay (with Kelly Clarkson),Jason Aldean,7CZiLgkiVHhFcDkI2Y4lZ4,2010-11-02,0.445,0.631,-4.798,0.0304,0.129,0.0911,0.152,143.846,-14.932769477714807
45,Try Missing You,Jon Langston,14lkoqJMOMaR7s6mBKzb2W,2021-07-09,0.532,0.512,-5.921,0.0265,0.69,0.101,0.171,144.032,-15.062933064356471
46,Heaven Was Needing A Hero,Jo Dee Messina,1ZORIAAPFg3akZMeiPaXCO,2010-11-09,0.378,0.234,-12.396,0.0315,0.38,0.214,0.202,143.46,-15.698871139391606
47,Freight Train,Aaron Watson,7eoYXgC7gir4LYY1KXGK97,2015-02-17,0.67,0.803,-5.628,0.0324,0.0416,0.269,0.815,144.95,-15.986988824980148
48,Bar Friends,Restless Road,5NfFDWE3FzgXo0Mg7N4MEm,2021-06-11,0.544,0.833,-4.693,0.0322,0.0193,0.148,0.573,109.997,-17.04627156450879
49,To Be Loved By You,Parker McCollum,5Ykc3Wr4L4wef5QDdaaxM7,2021-01-01,0.473,0.802,-4.497,0.037,0.00036,0.304,0.453,145.983,-17.086615633932063
50,Waiting For You - Acoustic,Russell Dickerson,6tcxucpT43gb76cCXtGzo9,2021-12-17,0.557,0.498,-9.283,0.0319,0.476,0.0895,0.27,145.972,-17.265143305761367
51,The Worst Country Song Of All Time,Brantley Gilbert,3dlkeKPc3pCveXvMFVJasK,2021-06-18,0.517,0.866,-4.432,0.0573,0.0212,0.132,0.655,147.092,-18.19634279726219
52,In Case You Didn't Know,Brett Young,10M2Ex445zw585Ducldzkw,2017-02-10,0.607,0.536,-7.306,0.0305,0.386,0.102,0.434,147.986,-19.04080539624102
53,I Can't Love You Any More,Mitchell Tenpenny,3Sm47s5VbZs7cHzEdqC4Tc,2021-09-10,0.534,0.853,-3.379,0.0325,0.00917,0.367,0.63,147.96,-19.179818881840852
54,Friends in Low Places,Brooks Jefferson,4OMj5QWwvYSUs9O0hsymts,2015-03-13,0.553,0.655,-5.837,0.0355,0.617,0.0825,0.624,107.739,-19.244045566042313
55,Anymore,Travis Tritt,4OrGwddgpFMyDmelYJ5NxB,1991,0.537,0.348,-10.289,0.0251,0.469,0.103,0.305,148.327,-19.76645912884524
56,"1, 2 Many",Luke Combs,226le7T3p82reYWzsi9Hsz,2019-11-08,0.54,0.821,-3.789,0.0873,0.0397,0.423,0.685,148.798,-19.95972047976789
57,The Story,Jana Kramer,6p5Zimzm3xN02MsXPAk54X,2022-02-25,0.474,0.443,-5.954,0.0311,0.599,0.111,0.178,149.925,-20.95230351808208
58,"Wine, Beer, Whiskey",Little Big Town,5avVDmK9FVJpd3MDO8I3Zl,2020-01-17,0.727,0.914,-5.85,0.0743,0.617,0.596,0.784,106.021,-20.969719416733575
59,"Big, Big Plans",Chris Lane,7yNJCsUH3tXlpQiHSsAc5l,2019-06-28,0.574,0.58,-6.091,0.0278,0.076,0.12,0.4,149.974,-20.998086219032785
60,With A Woman You Love,Justin Moore,20WKHeDTmtU0Zj4sNB8aoA,2021-10-01,0.611,0.756,-4.483,0.0288,0.0587,0.378,0.596,106.012,-21.03475608533022
61,Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,2020-10-23,0.487,0.65,-5.195,0.0253,0.191,0.0933,0.456,151.964,-23.00569731876171
62,Glad You Exist,Dan + Shay,472vIK1ldetTxRxG3ovaiY,2021-02-05,0.748,0.551,-6.12,0.0349,0.235,0.119,0.66,103.953,-23.027718248514557
63,God Gave Me You,Blake Shelton,0w9LJae3sVlZlH2CnxTInF,2011-07-11,0.483,0.844,-5.043,0.0314,0.00481,0.405,0.543,151.977,-23.029439525738134
64,Look Who's Cryin' Now,Jessie Murph,6Q0j526ymBAvizdCHmoM9x,2021-04-23,0.692,0.578,-4.716,0.0496,0.429,0.161,0.259,103.027,-23.995835409123636
65,Dancing in the Dawn,Jake Scott,7BO96T4UFKUbK96XujhaB2,2015-11-02,0.695,0.831,-4.889,0.0337,0.2,0.0741,0.667,102.031,-24.98123810059866
66,Save a Horse (Ride a Cowboy),Big & Rich,5s7m2xNZWgz5FqVSIvJcGA,2004-04-20,0.7,0.896,-2.276,0.191,0.108,0.453,0.817,102.065,-25.210129022574428
67,Wasting All These Tears,Cassadee Pope,25zXRQGuwYZdIp88fVZOPC,2013-01-01,0.465,0.772,-3.932,0.0378,0.0959,0.167,0.257,155.83,-26.943588358691603
68,Talkin' Tennessee,Morgan Wallen,7szRiHu6r91o2Po9GTPN4c,2018-04-27,0.702,0.711,-6.697,0.0248,0.568,0.104,0.498,99.988,-26.997289615246693
69,Slow Down Summer,Thomas Rhett,1fff5nZGyRJtFLkOrSSwOU,2021-11-05,0.464,0.755,-5.707,0.0354,0.00838,0.0989,0.449,155.973,-27.00093040354904
70,Memory - GOLDHOUSE x Mokita Remix,Kane Brown,4XZ8YGsNIF4UqE324Mbgfg,2021-11-05,0.618,0.808,-8.209,0.0625,0.115,0.129,0.49,100.037,-27.018763925805157
71,Dust On The Bottle,David Lee Murphy,0Xg68XXMRWzKQvD5S6BFvI,1994-01-01,0.736,0.614,-11.124,0.0389,0.0237,0.292,0.858,99.942,-27.477803252182188
72,Pontoon,Little Big Town,2Gy3XMLbBxACZ4tXdFRGr7,2013-01-01,0.721,0.819,-5.715,0.0269,0.413,0.196,0.867,96.02,-30.964679191726596
73,Country Stuff (feat. Jake Owen),Walker Hayes,00fjo9x6qJTFwARfpQYijD,2021-05-07,0.684,0.779,-7.028,0.134,0.0827,0.34,0.632,95.988,-31.00540693570384
74,Holy Water,Brett Eldredge,0iXqDv92jTifES3rxAYDNc,2021-12-24,0.425,0.362,-8.191,0.0356,0.35,0.107,0.209,95.253,-31.791718565820858
75,Dixieland Delight,Alabama,0bM1z18RQpr61UuI1LemIK,1983,0.444,0.413,-15.042,0.0326,0.163,0.053,0.573,95.738,-32.44338987004757
76,On Your Way Home,Patrick Droney,4sFhD0PjpNgV8M8yIzt7C2,2021-05-21,0.45,0.333,-9.522,0.0459,0.539,0.0843,0.582,94.436,-32.71265902802681
77,Tuesdays,Jake Scott,7r5cRFkwHuPy7HlzvuovLD,2018-01-26,0.473,0.217,-10.739,0.0367,0.63,0.142,0.628,164.02,-35.33428729987693
78,Starting Over,Chris Stapleton,3K07bGe8iljQ3mOKArHLDo,2020-11-13,0.638,0.538,-8.445,0.0315,0.452,0.0695,0.318,89.124,-37.92295758007093
79,Lease On Life,Andy Grammer,4ufkuONjQMNR2fyXu1bO9w,2021-06-28,0.704,0.701,-5.442,0.0594,0.058,0.127,0.592,88.024,-38.96301099116531
80,Chicken Fried,Zac Brown Band,0LQtEJt7x0s6knb6RKdRYc,2008-11-17,0.566,0.713,-4.25,0.0418,0.645,0.114,0.805,169.861,-40.927568206372314
81,Barefoot Blue Jean Night (Dee Jay Silver Remix),Dee Jay Silver,71WQp27TidhDZeSDly2JHN,2013-06-04,0.725,0.674,-5.46,0.0374,0.101,0.0907,0.413,85.991,-40.995275182453575
82,Not Yet,Brett Young,5csddpxbUz4tsxnC8GB9ZH,2021-06-04,0.464,0.783,-6.108,0.0378,0.000689,0.323,0.734,170.029,-41.053062964298086
83,Human,Cody Johnson,5AihIu9yF3flkw1jFMyfwW,2021-10-08,0.4,0.647,-7.279,0.0337,0.176,0.11,0.274,84.08,-42.914500552664826
84,Stuck Like Glue,Sugarland,0JcKdUGNR7zI4jJDLyYXbi,2010-01-01,0.702,0.795,-4.764,0.0568,0.329,0.0505,0.836,83.961,-43.04167528659643
85,Forgiveness,David Nail,0uEqGj52IUFOcVXb4nK0sz,2019-11-01,0.552,0.449,-8.024,0.0288,0.628,0.116,0.171,83.88,-43.140797125788296
86,Happy Anywhere (feat. Gwen Stefani),Blake Shelton,6LVzOLJkzG3C4hLNOdaBry,2021-05-21,0.606,0.737,-5.745,0.0321,0.134,0.057,0.65,82.966,-44.015764160458296
87,One Too Many,Keith Urban,5NUXE8W12lWcUXgJRCjeEw,2020-09-16,0.697,0.535,-6.504,0.068,0.247,0.569,0.594,82.959,-44.02363862994638
88,Letting Someone Go,Zach Bryan,6Wxx1jXr6EyGdt8RuYFzvj,2019-08-24,0.543,0.117,-15.153,0.0389,0.811,0.147,0.395,83.607,-44.27905688649002
89,Single Saturday Night,Cole Swindell,1irAliF0T8sLIOPJp6n7rU,2020-05-22,0.623,0.79,-5.07,0.0473,0.118,0.226,0.694,81.949,-45.044081252100135
90,What’s Your Country Song,Thomas Rhett,4oR2cCQGs0Yt0Mgr2diV6V,2021-04-30,0.359,0.706,-6.151,0.0309,0.000602,0.285,0.479,174.079,-45.102391724002814
91,Lady May,Tyler Childers,3t5OV1asJHmOlf23T08CLv,2017-08-04,0.539,0.16,-13.285,0.0329,0.881,0.105,0.322,81.446,-46.080603488379346
92,Heaven,Kane Brown,1HXy5I3HTWq8OvxCn0z7G7,2017-10-06,0.677,0.556,-6.544,0.0306,0.263,0.105,0.521,80.006,-46.97476648927018
93,Up,Luke Bryan,1GOMHxclGDvkcODCfYuuje,2021-04-09,0.432,0.488,-7.128,0.0305,0.298,0.158,0.222,176.038,-47.070446943314394
94,Show Me Around,Carly Pearce,1kAjZE74FPpadN5JUgrIcZ,2021-02-19,0.589,0.388,-9.755,0.0305,0.698,0.0902,0.364,78.883,-48.22921771417864
95,Buy Dirt,Jordan Davis,69AIpwGNLxr4qS1X5ynx60,2021-05-21,0.586,0.559,-6.725,0.05,0.639,0.0872,0.437,177.945,-48.97036751215661
96,My Church,Maren Morris,1LM5zQv5pBKPyO7rm7Uz6U,2017-03-17,0.517,0.743,-4.336,0.0363,0.243,0.107,0.664,76.979,-50.03283888389907
97,Come Back As A Country Boy,Blake Shelton,5EDtmgwR1lDmDGLZraNpJg,2021-10-01,0.487,0.796,-3.9,0.0339,0.0197,0.327,0.44,76.037,-50.992818205690675
98,Breakups,Seaforth,77Bt2DXJE1R1qsnm4D10Ox,2021-01-14,0.531,0.552,-5.945,0.0309,0.436,0.0786,0.328,74.931,-52.04877786933458
99,Whiskey Lullaby (feat. Alison Krauss),Brad Paisley,4BXkf6yww23Vdju7E1fUrn,2010-11-02,0.587,0.35,-10.954,0.0318,0.74,0.156,0.17,74.479,-52.71736592574138
100,Ramon Ayala,Giovannie and the Hired Guns,7oRlqeavsFnEtKoUueqyiL,2021-07-23,0.491,0.873,-4.112,0.0623,0.00129,0.255,0.526,182.077,-53.13898125527572
101,The Champion - Bonus Track,Carrie Underwood,2F6JxWMP2ZfmVErc3ZTmqQ,2018-09-14,0.529,0.87,-3.32,0.327,0.0529,0.0946,0.36,182.1,-53.19833222194206
102,Narcissist,Avery Anna,3LLezpquftwn7QI1rYIovM,2021-11-12,0.322,0.48,-5.989,0.0492,0.746,0.113,0.304,73.476,-53.50538560307595
103,Settle Me Down,Josh Abbott Band,4fFIpQ8eswym0U7movpzQR,2020-11-13,0.352,0.524,-6.738,0.0336,0.729,0.107,0.478,73.104,-53.87933931271405
104,Every Girl I Ever Loved,Noah Schnacky,4fbnx3oevoht9LNrauDsVP,2020-12-18,0.649,0.598,-6.684,0.151,0.0503,0.0964,0.576,189.933,-60.957605331710525
105,Angels,Thomas Rhett,2PhJC1jsvVIbpbBjDs9Bkv,2022-01-14,0.287,0.474,-6.088,0.0271,0.117,0.111,0.321,60.462,-66.51828847838189
106,Be Like That (feat. Swae Lee & Khalid) [MOTi Remix],Kane Brown,4aezIwJxnp1tmzUUnuUON8,2020-09-25,0.476,0.744,-6.414,0.0758,0.0226,0.166,0.576,199.223,-70.24571297179929
107,7 Summers,Morgan Wallen,4obHzpwGrjoTuZh2DItEMZ,2021-01-08,0.466,0.786,-5.13,0.0328,0.417,0.125,0.571,203.903,-74.93143778304218
108,Flower Shops (feat. Morgan Wallen),ERNEST,2ccuOtUjIyx3tPcsnpeBzJ,2021-12-31,0.527,0.461,-5.908,0.0269,0.118,0.0831,0.227,128.153,0.4536253300170183
109,Knowing You,Kenny Chesney,2EEfUuBRZA4Ax1vYcluFS0,2020-05-01,0.557,0.565,-6.12,0.026,0.229,0.119,0.187,125.956,-1.0617760014121962
110,Cover Me Up,Morgan Wallen,0mKnuxVkPi5h0kuvZl44VM,2021-01-08,0.549,0.44,-8.192,0.0264,0.232,0.107,0.214,128.01,-1.0735485960073285
111,Sleeve,Nate Smith,40OAMuxuJPssTKQ4gdU1JA,2021-02-19,0.698,0.796,-5.542,0.0335,0.0218,0.165,0.299,125.981,-1.1491363544459938
112,"Goin’ Nowhere (feat. HARDY, Morgan Wallen & Chris Shiflett)",HIXTAPE,0p9RXscosrY9vbQv12ZcLh,2021-12-10,0.635,0.934,-4.059,0.046,0.00173,0.189,0.77,127.015,-1.3754455030370134
113,Upgrade,Jessie Murph,72jFoOulGip53D9qZWMvi2,2021-01-15,0.661,0.489,-4.586,0.0384,0.301,0.274,0.111,130.163,-1.7382460408075064
114,Long Live,Florida Georgia Line,0YfRAYTNTNszGg8VARrSIH,2021-02-12,0.611,0.846,-3.548,0.0374,0.178,0.12,0.544,129.961,-2.2938002185919806
115,Chasing After You (with Maren Morris),Ryan Hurd,1ZIKpMTRPqhwAoVXWY3tXI,2021-02-12,0.596,0.679,-6.395,0.0394,0.723,0.116,0.479,131.912,-2.9568098362193087
116,Pretty Heart,Parker McCollum,6vC90OOjZR165Hw8CpsqEm,2019-08-30,0.562,0.683,-4.427,0.0296,0.00531,0.107,0.385,132.003,-3.4013112195233584
117,Before I Knew It,Mason Ramsey,3cqWSJzuxZCsglpaxWtosT,2019-07-26,0.632,0.875,-3.237,0.0367,0.216,0.385,0.801,133.006,-4.8340235935415015
118,County Line,Chase Matthew,1V8LJmUEAleAHmBUaD0ZFI,2021-07-02,0.536,0.772,-6.027,0.0339,0.206,0.163,0.423,134.019,-5.047044478916851
119,Heart On Fire,Eric Church,0ysCB1Jg4hli0XlEWlipo7,2021-04-16,0.653,0.927,-4.699,0.0289,0.0352,0.0966,0.894,119.97,-7.16231842493297
120,My Truck (feat. Sam Hunt) - Remix,BRELAND,1akB0Fn6w8U0j2hrDcj1kZ,2020-05-22,0.753,0.503,-6.213,0.0406,0.049,0.15,0.648,136.892,-7.924053714539964
121,Stone,Whiskey Myers,4rJesaufMl2xD0f2G8Xgnd,2016-09-09,0.438,0.477,-7.649,0.031,0.243,0.183,0.176,137.645,-8.789746824101343
122,What He Didn't Do,Carly Pearce,5OLaVCAM2pqg7X9mAM2W8M,2021-09-17,0.628,0.632,-5.932,0.0325,0.257,0.288,0.559,137.854,-8.880122951157928
123,Where I Find God,Larry Fleet,6jhLdxpo93lXFaJwX7znaa,2021-09-24,0.587,0.523,-6.2,0.0272,0.497,0.102,0.182,137.94,-8.969571722997745
124,Bad Bitch,Dylan Wheeler,2dhqvNEzJsIbyhY02O0EgJ,2020-05-06,0.524,0.69,-5.76,0.0452,0.00431,0.0446,0.449,137.99,-9.02750563056936
125,To the Max (feat. SMO & Austin Michael),Hosier,0PNLJESTrnikhS2GUSoSe6,2019-12-06,0.793,0.665,-7.275,0.0748,0.0188,0.11,0.178,138.023,-9.12275340705301
126,GOOD TIME,Niko Moon,2S8UMuLJ0z8agFgFGJ6Ztt,2021-08-27,0.802,0.59,-7.189,0.0493,0.0874,0.275,0.687,138.084,-9.167285960864913
127,Country A$$ Shit,Morgan Wallen,2Q6NVIPwqtosYBXQ0C00d0,2021-01-08,0.619,0.927,-3.765,0.0346,0.0192,0.138,0.928,137.975,-9.29738599548435
128,God's Country,Blake Shelton,1dyxS3YzBbL0t8rEVwVQ1K,2019-03-29,0.538,0.752,-5.106,0.0396,0.0608,0.118,0.217,139.984,-11.060778442538593
129,Nikki Sixx,Doobie,4U1j4Di9S3dSqckssFU8kl,2017-12-08,0.911,0.479,-5.275,0.202,0.381,0.151,0.682,140.006,-11.068857617024062
130,Dirt Road,Kidd G,24LyKCgvEia1eAPUbuISlk,2020-10-02,0.796,0.516,-7.891,0.0744,0.519,0.126,0.181,140.012,-11.166964805570824
131,Doin' This,Luke Combs,4GyD3o5hWoyCuYpdlzZlRL,2021-11-10,0.593,0.552,-5.838,0.028,0.18,0.11,0.39,115.0,-11.98573784503601
132,U Gurl,Walker Hayes,61Win0t38OfuaEWDUl03Fz,2021-10-15,0.783,0.728,-5.053,0.0343,0.0359,0.46,0.668,114.065,-12.968607056897286
133,Long Haul,Ian Munsick,7nERlpaH7QghaO7jC60Xtu,2021-02-26,0.505,0.627,-7.851,0.0273,0.423,0.0755,0.296,141.881,-13.007168072098136
134,Am I The Only One,Aaron Lewis,3qkHDYDOu1LnDEFP7zII07,2021-07-02,0.617,0.627,-4.694,0.0269,0.789,0.11,0.351,112.096,-14.957075090065844
135,Never Comin' Home,Bailey Zimmerman,4hEA25qUMn3camHI87UhiI,2021-02-03,0.556,0.59,-6.846,0.029,0.25,0.109,0.573,143.972,-15.008649945576352
136,Long Bumpy Road (feat. SMO) - Remix,Hosier,7mHQvybBKPU8U2q1WVhj0j,2017-04-14,0.703,0.787,-5.48,0.0697,0.0293,0.0934,0.441,144.0,-15.041733458389128
137,Not Good At Not,Morgan Wallen,5V4Sx4VKnHwyM6CjZnfce2,2018-04-27,0.557,0.814,-3.241,0.0325,0.242,0.114,0.582,143.935,-15.222859656361443
138,Big Gangsta,Kevin Gates,03ERnTvSV5fy8WAyvA4uNP,2021-03-26,0.879,0.574,-5.602,0.391,0.519,0.144,0.346,144.911,-15.950607239270244
139,My Boy,Elvie Shane,47fyYjbsfq48e3fUys4Xaa,2021-10-29,0.686,0.566,-5.977,0.0423,0.254,0.11,0.542,146.042,-17.06553332868977
140,Me and My Kind,Cody Johnson,4rW9EUFaMSNVY8JhbqrB6z,2014-01-14,0.588,0.807,-3.426,0.0283,0.0835,0.109,0.674,110.014,-17.175555362904294
141,Heading South,Zach Bryan,2Dct3GykKZ58hpWRFfe2Qd,2019-09-30,0.68,0.246,-14.112,0.058,0.783,0.106,0.388,110.23,-18.45787658713048
142,My Wife & 2 Dogs,Quinn XCII,5Ofdnu8hv625HP7OXoE2nj,2021-03-05,0.845,0.563,-5.133,0.103,0.084,0.0846,0.762,148.013,-19.066856863495055
143,Hard For,Kevin Gates,0YSTRuZ7elW9CEBfZJW5Js,2016-01-29,0.716,0.485,-8.241,0.237,0.0401,0.277,0.556,148.141,-19.274914886134564
144,Cold Beer Calling My Name,Jameson Rodgers,3dV1fjKOlLnaNK5MeZHXGv,2020-04-14,0.581,0.86,-4.092,0.039,0.048,0.169,0.79,148.318,-19.449668568952426
145,Villain,Lily Rose,0Fu3jq4NeOLatOXiLWVLO3,2021-10-01,0.633,0.641,-7.946,0.0601,0.287,0.0959,0.187,107.167,-19.89184035024196
146,Gone,Dierks Bentley,7IhfjcaXuXCq20ZiAA7igK,2020-10-22,0.521,0.746,-6.173,0.0351,0.00985,0.0741,0.473,149.977,-21.00191442687423
147,Just About Over You,Priscilla Block,4Ec0q0j8hRTCX4QQ5MiHSX,2020-09-30,0.53,0.524,-5.751,0.0327,0.544,0.11,0.514,150.05,-21.07600177319257
148,Spin You Around,Morgan Wallen,1yj1ZztSGITJ5Nf4mfH92c,2015-08-24,0.517,0.877,-3.621,0.0297,0.00147,0.208,0.616,150.004,-21.17591381850819
149,Nose On The Grindstone (OurVinyl Sessions),Tyler Childers,4a2uqVlpRChHj32EjJLu7G,2017-05-30,0.488,0.284,-11.039,0.0551,0.735,0.319,0.398,149.952,-21.514923276573658
150,Tequila Little Time,Jon Pardi,15npbUjCgwt2lRvyrJvyxw,2019-09-27,0.757,0.705,-5.084,0.0252,0.0375,0.114,0.855,104.972,-22.03789634797409
151,I Don't Wanna Go To Heaven,Nate Smith,55lJN2gIzJM9SCfwzxAEjf,2021-11-19,0.455,0.451,-7.544,0.0452,0.749,0.0776,0.27,104.662,-22.36323002797342
